Neuron ID	Day to day continuity problem	Max_min_alpha problems
13_neuron2_before.npy',		0
13_neuron3_before.npy',		0
13_neuron4_before.npy',		0
17_neuron2_before.npy',	x	0
17_neuron4_before.npy',		1
22_neuron1_before.npy',	x	0
24_neuron1_before.npy',		1
24_neuron4_before.npy',		1
24_neuron8_before.npy',		1
25_neuron1_before.npy',		1
27_neuron6_before.npy',		1
27_neuron8_before.npy',		1
28_neuron4_before.npy',		1
32_neuron1_before.npy',		1
32_neuron4_before.npy',	x	0
33_neuron1_before.npy',		1
37_neuron2_before.npy',		1
38_neuron1_before.npy',		0
38_neuron2_before.npy',		1
38_neuron4_before.npy',		1
42_neuron2_before.npy',		1
42_neuron3_before.npy',	x	0
44_neuron1_before.npy',		1
52_neuron2_before.npy',		1
54_neuron5_before.npy',		0
62_neuron2_before.npy',		0
63_neuron2_before.npy',		1
64_neuron3_before.npy',		1
66_neuron1_before.npy',		1
68_neuron1_before.npy',		1
68_neuron2_before.npy',		1
76_neuron2_before.npy',		0
77_neuron2_before.npy',	x	0
78_neuron3_before.npy',		0
83_neuron3_before.npy',		1
86_neuron2_before.npy',		0
87_neuron1_before.npy',		0
87_neuron3_before.npy'		1